route_key,api_id,route_id,api_gateway_managed,api_key_required,authorization_type,authorizer_id,model_selection_expression,operation_name,route_response_selection_expression,target,authorization_scopes,request_models,request_parameters,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
PUT /consulta/cancelaragendamento,1cgsqi60x3,pz1yml0,,false,CUSTOM,k62o7e,,,,integrations/mrinqic,,,,pz1yml0,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/routes/pz1yml0""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PUT /consulta/efetuaragendamento,1cgsqi60x3,nczryuu,,false,CUSTOM,k62o7e,,,,integrations/neku6w1,,,,nczryuu,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/routes/nczryuu""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /consulta/consultaragendamento/{id},1cgsqi60x3,s75qjz8,,false,CUSTOM,k62o7e,,,,integrations/d93v3at,,,,s75qjz8,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/routes/s75qjz8""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /consultarpractitionerfhir/{id},1cgsqi60x3,9t5m22n,,false,CUSTOM,k62o7e,,,,,,,,9t5m22n,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/routes/9t5m22n""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /consultarpatienterp/{id},1cgsqi60x3,qjqvfos,,false,CUSTOM,k62o7e,,,,,,,,qjqvfos,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/routes/qjqvfos""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /meioPagamentoAtualizaStatus,5blgkzmbg1,rx7egzp,,false,NONE,,,,,integrations/g4rc9ir,[],{},,rx7egzp,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/rx7egzp""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /meioPagamentoGerarLinkFaculdade,5blgkzmbg1,17r8lw5,,false,NONE,,,,,integrations/nkbtket,[],{},,17r8lw5,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/17r8lw5""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /meioPagamentoBaixaSap,5blgkzmbg1,zc9b0b9,,false,NONE,,,,,integrations/t7i2hj3,[],{},,zc9b0b9,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/zc9b0b9""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PUT /meioPagamentoAtualizarLink/{idLinkPagamento},5blgkzmbg1,eof1l22,,false,NONE,,,,,integrations/4gi006o,[],{},,eof1l22,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/eof1l22""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /meioPagamentoVerificaStatus,5blgkzmbg1,u2s9u51,,false,NONE,,,,,integrations/xff0x32,[],{},,u2s9u51,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/u2s9u51""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /meioPagamentoBaixaSapFaculdade,5blgkzmbg1,vrr352d,,false,NONE,,,,,integrations/7pjrmbb,[],{},,vrr352d,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/vrr352d""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /meioPagamentoGerarLink,5blgkzmbg1,yotmqgd,,false,NONE,,,,,integrations/08eocod,[],{},,yotmqgd,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/routes/yotmqgd""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /consultaPagamento/{idLinkPagamento},lom29q18ab,tmxxyr2,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,tmxxyr2,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/tmxxyr2""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /v2/link-pagamento,lom29q18ab,yppl342,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,yppl342,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/yppl342""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
ANY /teste,lom29q18ab,98tz4vf,,false,NONE,,,,,,,,,98tz4vf,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/98tz4vf""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PUT /atualizarLink/{idLinkPagamento},lom29q18ab,wky3tkh,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,wky3tkh,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/wky3tkh""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /gerarLink,lom29q18ab,7n3dz1j,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,7n3dz1j,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/7n3dz1j""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /faculdade/titulo-financeiro/adiantamento,lom29q18ab,tewt59i,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,tewt59i,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/tewt59i""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /faculdade/link-pagamento,lom29q18ab,68grdlb,,false,CUSTOM,mdk4jj,,,,integrations/pkn4cvn,,,,68grdlb,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/68grdlb""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /healthcheck,lom29q18ab,ukqzxgc,,false,NONE,,,,,integrations/pkn4cvn,,,,ukqzxgc,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/routes/ukqzxgc""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/rede/user,8qrolkeoo1,t77jrfj,,false,CUSTOM,d37m4h,,,,integrations/3nt1nzj,,,{},t77jrfj,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/t77jrfj""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/buscaNome,8qrolkeoo1,tbx10kn,,false,CUSTOM,d37m4h,,,,integrations/3jk8bx1,,,,tbx10kn,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/tbx10kn""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
