Name,API Name,Memory,vCPUs,Storage,On Demand Cost,Reserved Cost
I3 Storage Optimized Quadruple Extra Large,i3.4xlarge.search,122 GiB,16,2 x 1900 NVMe SSD,$1.9970 hourly,$1.3780 hourly
M7I 16xlarge Extra Large,m7i.16xlarge.search,256 GiB,64,EBS Only,$5.1610 hourly,$3.5610 hourly
ULTRAWARM1 Large,ultrawarm1.large.search,122 GiB,16,20,$2.6800 hourly,unavailable
C5 Compute Optimized Large,c5.large.search,4 GiB,2,EBS Only,$0.1250 hourly,$0.0860 hourly
C7I Large,c7i.large.search,4 GiB,2,EBS Only,$0.1430 hourly,$0.0990 hourly
C7I 12xlarge Extra Large,c7i.12xlarge.search,96 GiB,48,EBS Only,$3.4270 hourly,$2.3650 hourly
M5 General Purpose Quadruple Extra Large,m5.4xlarge.search,64 GiB,16,EBS Only,$1.1330 hourly,$0.7820 hourly
T2 General Purpose Medium,t2.medium.search,4 GiB,2,EBS Only,$0.0730 hourly,unavailable
R5 Memory Optimized Large,r5.large.search,16 GiB,2,EBS Only,$0.1860 hourly,$0.1280 hourly
R3 Memory Optimized Eight Extra Large,r3.8xlarge.search,244 GiB,32,2 x 320 SSD,$3.9200 hourly,unavailable
R6GD Memory Optimized (NVME SSD) Eight Extra Large,r6gd.8xlarge.search,256 GiB,32,1 x 1900 NVMe SSD,$3.0600 hourly,$2.1110 hourly
R7G Medium,r7g.medium.search,8 GiB,1,EBS Only,$0.0890 hourly,$0.0610 hourly
M4 General Purpose Extra Large,m4.xlarge.search,16 GiB,4,EBS Only,$0.3010 hourly,$0.2080 hourly
R7I Large,r7i.large.search,16 GiB,2,EBS Only,$0.2120 hourly,$0.1460 hourly
IM4GN Eight Extra Large,im4gn.8xlarge.search,128 GiB,32,2 x 7500 SSD,$4.3660 hourly,$3.0120 hourly
I4I 24xlarge,i4i.24xlarge.search,768 GiB,96,"6 x 3,750 Nitro SSD",$13.1790 hourly,$9.0940 hourly
M7G Quadruple Extra Large,m7g.4xlarge.search,64 GiB,16,EBS Only,$1.0840 hourly,$0.7480 hourly
M7I Eight Extra Large,m7i.8xlarge.search,128 GiB,32,EBS Only,$2.5800 hourly,$1.7810 hourly
R6GD Memory Optimized (NVME SSD) Double Extra Large,r6gd.2xlarge.search,64 GiB,8,1 x 475 NVMe SSD,$0.7650 hourly,$0.5280 hourly
I3 Storage Optimized Eight Extra Large,i3.8xlarge.search,244 GiB,32,4 x 1900 NVMe SSD,$3.9940 hourly,$2.7560 hourly
R7G Quadruple Extra Large,r7g.4xlarge.search,128 GiB,16,EBS Only,$1.4220 hourly,$0.9810 hourly
OR1 Large,or1.large.search,16 GiB,2,EBS Only,$0.2090 hourly,$0.1440 hourly
C6G Compute Optimized Extra Large,c6g.xlarge.search,8 GiB,4,EBS Only,$0.2260 hourly,$0.1560 hourly
M4 General Purpose Double Extra Large,m4.2xlarge.search,32 GiB,8,EBS Only,$0.6030 hourly,$0.4160 hourly
M4 General Purpose Quadruple Extra Large,m4.4xlarge.search,64 GiB,16,EBS Only,$1.2070 hourly,$0.8330 hourly
C7G Double Extra Large,c7g.2xlarge.search,16 GiB,8,EBS Only,$0.4810 hourly,$0.3320 hourly
OM2 Double Extra Large,om2.2xlarge.search,32 GiB,8,EBS Only,$0.6100 hourly,$0.4210 hourly
R6G Memory Optimized Extra Large,r6g.xlarge.search,32 GiB,4,EBS Only,$0.3350 hourly,$0.2310 hourly
M7I Extra Large,m7i.xlarge.search,16 GiB,4,EBS Only,$0.3230 hourly,$0.2230 hourly
OM2 Quadruple Extra Large,om2.4xlarge.search,64 GiB,16,EBS Only,$1.2210 hourly,$0.8420 hourly
M7G Medium,m7g.medium.search,4 GiB,1,EBS Only,$0.0680 hourly,$0.0470 hourly
R5 Memory Optimized 12xlarge Extra Large,r5.12xlarge.search,384 GiB,48,EBS Only,$4.4600 hourly,$3.0770 hourly
I4I Extra Large,i4i.xlarge.search,32 GiB,4,1 x 937 Nitro SSD,$0.5490 hourly,$0.3790 hourly
R5 Memory Optimized Quadruple Extra Large,r5.4xlarge.search,128 GiB,16,EBS Only,$1.4870 hourly,$1.0260 hourly
M6G General Purpose 12xlarge Extra Large,m6g.12xlarge.search,192 GiB,48,EBS Only,$3.0680 hourly,$2.1170 hourly
OR1 12xlarge Extra Large,or1.12xlarge.search,384 GiB,48,EBS Only,$5.0200 hourly,$3.4640 hourly
OR2 Quadruple Extra Large,or2.4xlarge.search,128 GiB,16,EBS Only,$1.6000 hourly,$1.1040 hourly
R7I Double Extra Large,r7i.2xlarge.search,64 GiB,8,EBS Only,$0.8470 hourly,$0.5840 hourly
C7G Extra Large,c7g.xlarge.search,8 GiB,4,EBS Only,$0.2410 hourly,$0.1660 hourly
C4 Compute Optimized Eight Extra Large,c4.8xlarge.search,60 GiB,36,EBS Only,$2.3470 hourly,$1.6190 hourly
M5 General Purpose Extra Large,m5.xlarge.search,16 GiB,4,EBS Only,$0.2830 hourly,$0.1950 hourly
C4 Compute Optimized Extra Large,c4.xlarge.search,7.5 GiB,4,EBS Only,$0.2940 hourly,$0.2030 hourly
IM4GN Quadruple Extra Large,im4gn.4xlarge.search,64 GiB,16,1 x 7500 SSD,$2.1830 hourly,$1.5060 hourly
M7G 12xlarge Extra Large,m7g.12xlarge.search,192 GiB,48,EBS Only,$3.2510 hourly,$2.2430 hourly
R7GD Extra Large,r7gd.xlarge.search,32 GiB,4,1 x 237 NVMe SSD,$0.4520 hourly,$0.3120 hourly
M7G Double Extra Large,m7g.2xlarge.search,32 GiB,8,EBS Only,$0.5420 hourly,$0.3740 hourly
C6G Compute Optimized Quadruple Extra Large,c6g.4xlarge.search,32 GiB,16,EBS Only,$0.9030 hourly,$0.6230 hourly
R7G Eight Extra Large,r7g.8xlarge.search,256 GiB,32,EBS Only,$2.8450 hourly,$1.9630 hourly
C6G Compute Optimized Eight Extra Large,c6g.8xlarge.search,64 GiB,32,EBS Only,$1.8060 hourly,$1.2460 hourly
C7I Quadruple Extra Large,c7i.4xlarge.search,32 GiB,16,EBS Only,$1.1420 hourly,$0.7880 hourly
R4 Memory Optimized Quadruple Extra Large,r4.4xlarge.search,122 GiB,16,EBS Only,$1.5690 hourly,$1.0830 hourly
R7GD Quadruple Extra Large,r7gd.4xlarge.search,128 GiB,16,1 x 950 NVMe SSD,$1.8070 hourly,$1.2470 hourly
R3 Memory Optimized Quadruple Extra Large,r3.4xlarge.search,122 GiB,16,1 x 320 SSD,$1.9600 hourly,unavailable
IM4GN Large,im4gn.large.search,8 GiB,2,1 x 937 SSD,$0.2730 hourly,$0.1880 hourly
T2 General Purpose Small,t2.small.search,2 GiB,1,EBS Only,$0.0360 hourly,unavailable
I4I 12xlarge Extra Large,i4i.12xlarge.search,384 GiB,48,"3 x 3,750 Nitro SSD",$6.5890 hourly,$4.5460 hourly
M7I Quadruple Extra Large,m7i.4xlarge.search,64 GiB,16,EBS Only,$1.2900 hourly,$0.8900 hourly
R4 Memory Optimized Double Extra Large,r4.2xlarge.search,61 GiB,8,EBS Only,$0.7850 hourly,$0.5420 hourly
R7GD Medium,r7gd.medium.search,8 GiB,1,1 x 80 SSD,$0.1130 hourly,$0.0780 hourly
C7G Quadruple Extra Large,c7g.4xlarge.search,32 GiB,16,EBS Only,$0.9630 hourly,$0.6640 hourly
OM2 Extra Large,om2.xlarge.search,16 GiB,4,EBS Only,$0.3050 hourly,$0.2100 hourly
OR2 Double Extra Large,or2.2xlarge.search,64 GiB,8,EBS Only,$0.8000 hourly,$0.5520 hourly
I4G Extra Large,i4g.xlarge.search,32 GiB,4,1 x 937 Nitro SSD,$0.4940 hourly,$0.3410 hourly
R7GD 12xlarge Extra Large,r7gd.12xlarge.search,384 GiB,48,2 x 1425 NVMe SSD,$5.4210 hourly,$3.7400 hourly
M5 General Purpose Double Extra Large,m5.2xlarge.search,32 GiB,8,EBS Only,$0.5660 hourly,$0.3910 hourly
R7G 12xlarge Extra Large,r7g.12xlarge.search,384 GiB,48,EBS Only,$4.2670 hourly,$2.9440 hourly
OM2 Large,om2.large.search,8 GiB,2,EBS Only,$0.1530 hourly,$0.1060 hourly
R4 Memory Optimized 16xlarge Extra Large,r4.16xlarge.search,488 GiB,64,EBS Only,$6.2780 hourly,$4.3320 hourly
