Name,API Name,Memory,vCPUs,Network Performance,Redis Cost,Redis Reserved Cost,Memcached On Demand Cost,Memcached Reserved Cost,Valkey On Demand Cost,Valkey Reserved Cost
M3 Previous generation: (not recommended) Medium,cache.m3.medium,2.78 GiB,1 vCPUs,Moderate,$0.0900 hourly,unavailable,$0.0900 hourly,unavailable,$0.0720 hourly,unavailable
M7G 12xlarge,cache.m7g.12xlarge,157.12 GiB,48 vCPUs,22.5 Gigabit,$3.7700 hourly,$2.5640 hourly,$3.7700 hourly,$2.5640 hourly,$3.0160 hourly,$2.0512 hourly
M7G Double Extra Large,cache.m7g.2xlarge,26.04 GiB,8 vCPUs,Up to 15 Gigabit,$0.6290 hourly,$0.4280 hourly,$0.6290 hourly,$0.4280 hourly,$0.5032 hourly,$0.3424 hourly
R7G Large,cache.r7g.large,13.07 GiB,2 vCPUs,Up to 12.5 Gigabit,$0.2190 hourly,$0.1490 hourly,$0.2190 hourly,$0.1490 hourly,$0.1752 hourly,$0.1192 hourly
M7G Eight Extra Large,cache.m7g.8xlarge,103.68 GiB,32 vCPUs,15 Gigabit,$2.5140 hourly,$1.7100 hourly,$2.5140 hourly,$1.7100 hourly,$2.0112 hourly,$1.3680 hourly
C7GN Extra Large,cache.c7gn.xlarge,6.38 GiB,4 vCPUs,Up to 40 Gigabit,$0.5090 hourly,$0.3460 hourly,$0.5090 hourly,$0.3460 hourly,$0.4072 hourly,$0.2768 hourly
M4 General Purpose Deca Extra Large,cache.m4.10xlarge,154.64 GiB,40 vCPUs,10 Gigabit,$3.1120 hourly,unavailable,$3.1120 hourly,unavailable,$2.4896 hourly,unavailable
R6gd Memory optimized (SSD storage) 12xlarge,cache.r6gd.12xlarge,317.77 GiB,48 vCPUs,20 Gigabit,$9.3580 hourly,$6.3630 hourly,unavailable,unavailable,$7.4864 hourly,$5.0904 hourly
T4g General Purpose Graviton Medium,cache.t4g.medium,3.09 GiB,2 vCPUs,Up to 5 Gigabit,$0.0650 hourly,$0.0440 hourly,$0.0650 hourly,$0.0440 hourly,$0.0520 hourly,$0.0352 hourly
R6gd Memory optimized (SSD storage) Eight Extra Large,cache.r6gd.8xlarge,209.55 GiB,32 vCPUs,12 Gigabit,$6.2400 hourly,$4.2430 hourly,unavailable,unavailable,$4.9920 hourly,$3.3944 hourly
R6g Memory optimized 12xlarge,cache.r6g.12xlarge,317.77 GiB,48 vCPUs,20 Gigabit,$4.9250 hourly,$3.3620 hourly,$4.9250 hourly,$3.3620 hourly,$3.9400 hourly,$2.6896 hourly
R5 Memory optimized Double Extra Large,cache.r5.2xlarge,52.82 GiB,8 vCPUs,Up to 10 Gigabit,$0.8620 hourly,$0.5900 hourly,$0.8620 hourly,$0.5900 hourly,$0.6896 hourly,$0.4720 hourly
M4 General Purpose Double Extra Large,cache.m4.2xlarge,29.7 GiB,8 vCPUs,High,$0.6230 hourly,unavailable,$0.6230 hourly,unavailable,$0.4984 hourly,unavailable
M2 General Purpose Double Extra Large,cache.m2.2xlarge,33.8 GiB,4 vCPUs,Moderate,$0.6040 hourly,unavailable,$0.6040 hourly,unavailable,$0.4832 hourly,unavailable
R5 Memory optimized Extra Large,cache.r5.xlarge,26.32 GiB,4 vCPUs,Up to 10 Gigabit,$0.4310 hourly,$0.2950 hourly,$0.4310 hourly,$0.2950 hourly,$0.3448 hourly,$0.2360 hourly
